county,Population,Asian Pop,Black Pop,Hispanic Pop,White Pop,Native Pop,Multi-Race Pop,Other Pop,Avg Hsld Size,Avg Fam Size,Owned Housing,Rented Housing,Health Cov,No Health Cov,Med Monthly Housing,Poverty %,Male Poverty %,Female Poverty %,White Poverty %,Black Poverty %,Native Poverty %,Asian Poverty %,Other Poverty %,Hispanic Poverty %,Multi-Race Poverty %,Black Unemp %,Native Unemp %,Asian Unemp %,Other Unemp %,Multi-Race Unemp %,Hispanic Unemp %,White Unemp %,Male Unemp %,Female Unemp %,LTHS Unemp %,HS Unemp %,SC/AD Unemp %,Bach./Higher Unemp %,Top Political,Unemp %
Amador,40095,1.55,3,14.8,73.4,1.42,5.11,0.72,2.38,2.96,78.4,21.6,96.6,3.4,1237,7.9,7,8.9,7.7,21.1,30.5,15.4,9.7,5.7,8.9,0,1.9,0,14,12.3,8.8,6.3,4.9,8.9,3.4,6,5,8.7,R,6.8
Calaveras,45349,1.72,0.74,12.95,76.54,1.1,6.35,0.6,2.67,3.06,81.5,18.5,93.4,6.6,1408,14.9,14.4,13.8,12.8,6.7,30.5,10.9,35.9,21.6,12.2,48.6,16.2,1.9,0,4.2,5.1,7.3,7.6,6.1,8.6,5,6.6,10.7,R,6.8
El Dorado,190568,4.86,0.75,13.84,73.3,0.67,5.94,0.64,2.53,3.01,76.2,23.8,95.9,4.1,1707,8.7,7.7,9.72,7.6,22.3,12.9,4.6,10.1,15.6,11.4,12.1,2.8,3.5,1.2,5.6,3.6,4.9,5.3,3.7,7.9,6.4,4.2,3.8,R,4.7
Fresno,1003150,10.99,4.39,53.61,26.96,0.6,2.93,0.52,3.14,3.7,54.1,45.9,92.7,7.3,1197,20.2,18.6,21.7,11.1,29.5,24.8,17.8,25.1,24.8,21.5,14.6,16.7,7.3,10.2,11.2,10,6.1,7.7,8.8,11.1,9.2,7.5,3.4,D,8.8
Humboldt,137014,2.88,1.27,13.58,68.38,5.46,7.63,0.8,2.48,3.12,57.6,42.4,92.3,7.7,1116,20.3,19.4,21.1,17.3,43,37.3,33.6,24.3,23.7,24.4,15.1,17.5,13.5,16.2,9.3,13,7.9,9.7,7.4,14.2,8.6,10,4.8,D,9.4
Inyo,18804,1.5,0.45,23.13,58.03,11.51,4.91,0.47,2.31,3.17,64.4,35.6,92.9,7.1,962,10.8,12.5,9.1,7.7,7.4,14.8,25,2.3,17.3,8.4,0,8.8,0,4,0.5,6.6,2.6,6.1,1.8,2.8,4.6,1.7,2.5,R,4.3
Kern,905644,4.99,5.14,54.9,30.75,0.57,3.14,0.51,3.19,3.71,59.3,40.7,92,8,1159,19.4,17.3,21.4,14,31.6,23,14.6,22.1,22,18.4,15.9,11.5,5.3,9.4,9.2,8.8,8.2,8.4,8.2,10,9.9,6.9,2.6,R,8.9
Kings,151887,3.83,5.44,56.8,29.09,1.11,3.26,0.47,3.17,3.55,54.5,45.5,92.4,7.6,1176,16.4,15.1,17.7,8.5,32.1,27.7,5.4,19.2,21.2,16.3,8.1,16.3,4.6,11.2,11.6,10.3,7.4,7.7,10,12.9,8.3,7.3,3.6,R,9.1
Lake,67749,1.51,1.7,22.65,64.85,2.55,6.17,0.57,2.54,3.13,69.1,30.9,93.3,6.7,1086,16.8,15.4,18.3,15,34.9,38.1,17.5,15.5,15.9,20.7,11.5,15.1,2.6,14.1,15.9,13.2,8.4,11.4,8.9,11.1,12.3,8.7,6.4,D,10.1
Los Angeles,10019635,14.93,7.6,47.98,25.6,0.18,3.13,0.58,2.94,3.61,46.2,53.8,90.9,9.1,1782,13.9,12.7,15,9.5,20,15.9,10.9,17,16.2,12.4,10.6,8.4,5.5,6.8,9.1,6.8,6.9,6.5,6.8,6.8,6.9,6.6,5,D,7
Madera,156304,2.37,2.64,59.63,30.97,1.11,2.81,0.47,3.4,3.76,66.2,33.8,91.8,8.2,1223,19.6,18.1,21,11,26.3,17.1,24,30.6,24.1,17.5,6.1,10.7,12.3,13.6,10,11.6,8.9,9.1,10.2,12.4,8,8.9,4.1,R,10.5
Marin,262387,6.34,2.33,18.84,66.01,0.21,5.5,0.77,2.46,3.03,63.8,36.2,96.5,3.5,2697,6.9,6.4,7.4,5.2,15.9,16.6,6.5,17.8,13,8.8,10.6,1.8,3.5,4.7,5.3,4.6,5.3,5.5,4,2.5,3.9,6.2,3.5,D,5.2
Mariposa,17225,1.76,0.61,12.49,74.94,2.39,7.13,0.68,2.12,2.72,71.5,28.5,93.5,6.5,991,13.2,11.9,14.4,12.9,7.1,17.6,10.6,13.6,12.5,14.9,71.7,5.3,1.1,3.5,18.3,11.1,8.3,8.8,10.6,13.5,9.1,7.6,9.7,R,9.7
Mendocino,91534,2.01,0.66,26.13,61.36,3.85,5.34,0.65,2.61,3.3,60.3,39.7,90.3,9.7,1180,15.8,14.8,16.8,12.3,36.5,22.4,10.4,26.2,21.9,20,1.6,13.8,9.8,6.3,11.2,10.8,7.4,9.8,6.9,10.8,7.3,8.8,4.7,D,8.5
Merced,279150,7.27,2.91,61.83,24.44,0.41,2.67,0.47,3.35,3.82,51.6,48.4,91.2,8.8,1156,19.4,17,21.8,13,28.8,33.2,16.4,23.8,22.2,16.6,20.1,8.8,7,12.8,9.3,11.8,9.9,8.1,12.2,11.6,11.6,8,3.9,D,11.1
Mono,13291,1.4,0.52,26.58,65.77,1.34,3.8,0.59,2.42,3.07,65.8,34.2,87.5,12.5,1463,10,13.1,6.2,5.8,0,10.3,0.3,11.7,21.4,44.6,0,1.8,5.1,7.3,0,1.5,2.9,3.9,0.8,0,0.1,2,1.1,D,2.4
Monterey,438953,6.15,2.06,60.43,27.35,0.3,3.22,0.49,3.24,3.76,51.7,48.3,90.1,9.9,1775,12.2,11.1,13.2,6.6,13.5,13.9,9.1,17.4,15,10.4,4.7,14.8,7.2,3.6,8.7,5,5.7,5.1,5.8,4.6,5,4.8,4.8,D,5.5
Napa,138795,7.85,1.67,35.38,49.93,0.37,4.15,0.65,2.77,3.33,65.5,34.5,94,6,1946,7.7,7.1,8.2,6.1,16.1,18.9,7.1,12.4,9.6,7.9,11,6.8,4.2,4.5,3.8,5.2,4.7,4.5,4.7,5.7,3.6,4.3,3.4,D,4.9
Nevada,102090,1.46,0.41,10.19,80.99,0.68,5.67,0.6,2.47,2.98,75.4,24.6,94.5,5.5,1583,10.5,9.7,11.3,9.1,13.8,4.4,11.1,21.6,20.5,14,0.8,1.7,6,3.9,6.2,2.9,4.2,4.4,3.4,6.4,2.5,2.9,4.5,D,4.2
Orange,3182923,22.18,1.55,34.1,37.61,0.17,3.93,0.46,2.97,3.47,57,43,92.9,7.1,2159,9.9,8.9,10.9,6.9,12.8,11.2,11.1,14.9,12.6,8.3,7.8,5.4,5.3,5.9,7.2,5.6,5.1,4.9,5.3,5.5,5.8,5.2,3.7,R,5.4
Placer,400330,8.83,1.59,14.98,67.32,0.5,6.26,0.52,2.65,3.13,73.4,26.6,96.6,3.4,1956,7,6.4,7.5,6.2,6.9,12.4,5.4,17.2,10.9,6.7,4.7,4.6,4.3,6.2,6.5,5,4,4.1,3.6,5.7,3.9,4,2.6,R,4.3
Riverside,2409331,7.01,6.07,49.72,32.6,0.49,3.51,0.6,3.2,3.73,68.1,31.9,91.7,8.3,1651,12,10.7,13.2,8.8,15.3,15.9,10.7,15.1,13.9,10.5,10,7.9,5.5,8.1,9,7.6,6.3,6.3,7.1,7.9,7.3,5.7,3.8,D,7.2
San Francisco,865933,34.04,5.16,15.65,39.05,0.18,5.2,0.72,2.34,3.11,38.2,61.8,96.4,3.6,2302,10.3,9.6,11,7.2,26.4,31.1,10,14.9,13.3,9.6,10.7,11.8,5.1,7.3,5.9,6.2,4.4,5.5,4.4,8.6,8.5,6.4,3.7,D,5.3
San Luis Obispo,282771,3.66,1.53,24.05,64.96,0.4,4.82,0.58,2.5,2.98,62.4,37.6,94.1,5.9,1714,12,11.8,12.2,11,27.9,13.9,15.6,17,13.2,13.7,3.4,3.9,3.9,7,4.7,4.4,5.5,4.4,5.5,5.3,4.2,4.5,3.7,R,5.1
