county,Population,Asian Pop,Black Pop,Hispanic Pop,White Pop,Native Pop,Multi-Race Pop,Other Pop,Avg Hsld Size,Avg Fam Size,Owned Housing,Rented Housing,Health Cov,No Health Cov,Med Monthly Housing,Poverty %,Male Poverty %,Female Poverty %,White Poverty %,Black Poverty %,Native Poverty %,Asian Poverty %,Other Poverty %,Hispanic Poverty %,Multi-Race Poverty %,Black Unemp %,Native Unemp %,Asian Unemp %,Other Unemp %,Multi-Race Unemp %,Hispanic Unemp %,White Unemp %,Male Unemp %,Female Unemp %,LTHS Unemp %,HS Unemp %,SC/AD Unemp %,Bach./Higher Unemp %,Top Political,Unemp %
Alameda,1673133,31.4,9.9,22.4,29.9,1.1,4.9,0.5,2.82,3.4,53.9,46.1,95.7,4.3,2254,8.9,8.1,9.7,6.9,16.7,11.7,7.2,13,10.7,8.4,8.4,8.8,4.3,4.8,5.7,5.2,4.6,4.7,4.8,5.7,5.7,5.5,3.4,D,5
Alpine,1344,0.7,0.6,14.7,54.3,26.3,3.3,0,3.01,3.82,81.8,18.2,93.4,6.6,1397,12.9,17.1,8,9.4,100,21.4,50,0,22.8,2.3,100,9.3,0,0,1.5,2.4,9.9,16.3,3.8,12.5,5.4,18.3,8.8,D,9.2
Butte,217884,5.1,1.8,17.4,70.3,0.7,4.6,0.1,2.48,3.03,58.1,41.9,93.6,6.4,1173,17.7,16.8,18.7,15.9,39.9,13.1,27.2,21.7,23.1,22.1,14.2,4.6,7.2,8.2,8.4,9.5,6.8,7.8,6,11.3,5.7,6.1,3.6,D,7.2
Colusa,21780,0.8,1.3,60.5,34,0.1,2.7,0.1,2.95,3.72,61.6,38.4,91.6,8.4,1039,13,11.5,14.6,13.3,14.5,1.7,35.3,12.6,11.4,11.8,0,0.7,0,17.2,3.1,7.7,1.9,4.7,7.9,12.4,2.5,5.7,0.9,R,5.5
Contra,1161643,18.1,8.3,26.2,41.6,0.2,5.3,0.4,2.84,3.33,67,33,95.3,4.7,2231,8.2,7.4,9,6.4,13.7,6.9,6.4,13.7,11.5,9.5,10.2,7.9,4.4,5.9,7.7,6.1,5.2,5.5,5.9,7.3,6.3,6.3,3.5,D,5.8
Del Norte,27655,3.1,2.9,20.5,60.1,6.1,5.9,1.5,2.62,3.16,68.3,31.7,94.8,5.2,857,17.3,15.9,18.6,13.6,38.6,25.9,46.9,21.3,20.9,22.4,0,10.7,0,9.8,12.2,10.8,6.9,9.5,4.9,8,6.9,10.4,1.3,R,7.5
Glenn,28675,3.6,0.4,42.9,50.1,1.2,1.7,0.1,2.91,3.51,60.9,39.1,90,10,1001,15.1,12,18.2,11.6,57.3,24.1,48.3,19.3,16.3,26.5,0,3.3,1.1,8.8,6.8,9.9,7,6.6,7.5,7.7,10.2,2.8,7.8,R,7.1
Imperial,180051,1.3,2.5,85.1,9.7,0.7,0.6,0.1,3.73,4.47,58,42,93.4,6.6,985,21,18.4,23.6,20.9,25.8,36.5,8.9,22,22.3,18.6,12.5,16,3.5,15.6,15.9,15.1,12.5,14.2,12.8,21.4,12.5,9.5,7.3,D,13.9
Lassen,32949,1.6,8.3,19.7,64.2,3.1,2.8,0.4,2.58,3.05,70,30,94.2,5.8,961,13.9,14.6,13.2,12.7,27.7,32.5,17.1,11.6,10.2,17.3,23.2,43.3,11.5,0.9,17.3,3.6,5.1,8.6,6,14.8,7.8,5.1,6.3,R,6.9
Modoc,8723,0.8,2,15.2,76.6,3.4,2.1,0,2.42,2.95,74.5,25.5,88,12,598,19.6,17.1,22.1,18.7,53.4,21.8,45.9,9.9,21.3,31.5,27.7,7.9,0,0,31.1,10.7,9.4,12.4,5.8,1.8,22.5,5.6,0.5,R,9.9
Plumas,19631,0.6,0.5,9.6,82.6,1.3,4.3,0,2.34,2.88,72.3,27.7,95.6,4.4,1018,11.9,10.9,12.8,10.5,30.2,15,68.5,23.3,11.1,20.5,6,27.1,0,1.1,13.7,19.4,7.8,9.1,7.5,5.7,8.7,9.6,3.2,R,8.2
Sacramento,15717671,16.6,9.3,23.8,42.9,1.4,5.6,0.4,2.77,3.37,57.8,42.2,94.6,5.4,1531,13.3,12.7,13.8,10.5,20.3,16.7,13.9,19.6,16.2,13.7,11.2,7.5,6.3,6.8,7.6,5.8,5.6,6.5,5.9,8.8,8.3,6.2,3.4,D,6.6
San Benito,63329,2.9,0.9,60.9,32.3,0.5,2.6,0.1,3.29,3.68,67.6,32.4,93.6,6.4,2070,7.7,6.7,8.8,7.8,11.2,2.4,6.2,9.9,9.4,6.8,10.3,9.7,6.1,9,4.6,8.5,7.4,6.7,7.3,9.9,7.8,6.3,4,D,7.1
San Bernardino,2171071,7.3,7.6,54.6,26.6,0.6,3.1,0.3,3.26,3.72,60.5,39.5,91.5,8.5,1496,14.3,13,15.5,13.2,21.4,16.5,10.6,15.8,15.5,13.8,11.7,7.8,5.1,6.9,8.9,7.5,7.1,6.6,7.1,8,7,6,4.1,D,7.5
San Diego,3296317,11.7,4.6,34.3,44.1,0.7,4.2,0.3,2.81,3.38,54.1,45.9,92.5,7.5,1971,10.7,9.7,11.7,9.8,20.1,12,9,14,13.8,11,11.3,10,5.3,6.3,10,7.5,5.9,5.9,6.4,8.5,6.6,6,4.2,D,6.6
San Joaquin,771406,16.1,6.7,42.3,29.6,0.8,4.3,0.3,3.21,3.71,59.1,40.9,93.6,6.4,1502,13.5,12.1,15,12.3,19.7,11.2,13.2,14.7,15.4,13.8,12,4.1,6.3,7.1,9.3,7.9,6.3,6.12,7.6,8.4,6.7,6.3,4.4,D,7.3
Santa Clara,1932022,37.9,2.3,25.1,29.9,0.5,3.9,0.4,2.93,3.41,56.1,43.9,95.9,4.1,2671,6.7,5.9,7.4,5.6,11.1,15.6,6.1,11.1,9.2,6.8,7.8,8.1,4,5.2,5.8,4.9,4.1,3.9,4.8,5.4,5.3,4.6,3.2,D,4.5
Sierra,3079,0,0.1,11.2,87.4,0,0.4,0,2.65,3.27,78.9,21.1,84.5,15.5,1012,8.2,6.3,9.8,8.2,100,37.9,0,0,0.6,0,0,0,0,0,0,0,10.4,15.5,6,0,0,21.7,0,R,9
Sonoma,492498,4.3,1.5,27.5,61.7,0.7,3.9,0.5,2.56,3.11,61.4,38.6,94.1,5.9,1964,8.7,7.8,9.5,7.4,21.2,9.1,7.3,13.7,11,9.8,7.6,6.7,3.4,4.5,7.8,5.2,4.9,5.1,4.6,4.6,5.3,5.1,3.8,D,5.1
Trinity,15818,2.1,0.6,7.5,79.6,3.3,3.2,3.7,2.83,3.52,70.3,29.7,89.5,10.5,708,22.5,17.3,27.8,24.3,4.1,3.7,54.4,7.9,20.4,12.9,0,2.4,0,8,10.2,27.4,5.5,5.2,7.6,12.3,6.8,8.4,1.5,R,5.8
Tuolumne,55243,1.4,1.7,12.9,79.1,1.3,3,0.6,2.24,2.81,74.7,25.3,93.5,6.5,1283,9.9,9.4,10.4,9.8,0.4,14.5,7.4,6.5,16.5,13,0,4.4,16.3,4.6,4.1,6.6,8.5,8,7.6,16.7,8.5,5.5,5.4,R,8.1
Ventura,845255,7.1,1.7,43.3,44.1,0.4,3.2,0.3,3.03,3.55,63.5,36.5,91.6,8.4,2085,8.9,8,9.7,8.6,10.4,22.2,5.8,11.5,11.8,9.5,8.7,7.3,4.3,6.7,8,6.2,5.1,5.5,5.1,7.2,6.1,4.5,3.7,D,5.6
Yolo,216703,14.3,2.3,32.1,45.2,0.8,5,0.3,2.77,3.22,51.7,48.3,95.5,4.5,1591,17.2,15.5,18.9,14.4,33.5,23.2,32.7,15.3,15.7,12.4,11.3,12.2,7.1,5.2,6.2,5.3,5,4.9,4.8,6.7,4.3,3.6,3.5,D,5.6
